3.720000 	 -nan 	 -nan	98.601069
3.730000 	 -nan 	 -nan	97.897014
3.740000 	 -nan 	 -nan	97.199415
3.750000 	 -nan 	 -nan	96.508201
3.760000 	 -nan 	 -nan	95.823303
3.770000 	 -nan 	 -nan	95.144651
3.780000 	 -nan 	 -nan	94.472177
3.790000 	 -nan 	 -nan	93.805814
3.800000 	 -nan 	 -nan	93.145496
3.810000 	 -nan 	 -nan	92.491155
3.820000 	 -nan 	 -nan	91.842728
3.830000 	 -nan 	 -nan	91.200151
3.840000 	 -nan 	 -nan	90.563360
3.850000 	 -nan 	 -nan	89.932292
3.860000 	 -nan 	 -nan	89.306886
3.870000 	 -nan 	 -nan	88.687081
3.880000 	 -nan 	 -nan	88.072817
3.890000 	 -nan 	 -nan	87.464034
3.900000 	 -nan 	 -nan	86.860673
3.910000 	 -nan 	 -nan	86.262676
3.920000 	 -nan 	 -nan	85.669986
3.930000 	 -nan 	 -nan	85.082547
3.940000 	 -nan 	 -nan	84.500302
3.950000 	 -nan 	 -nan	83.923195
3.960000 	 -nan 	 -nan	83.351174
3.970000 	 -nan 	 -nan	82.784182
3.980000 	 -nan 	 -nan	82.222168
3.990000 	 -nan 	 -nan	81.665079
4.000000 	 -nan 	 -nan	81.112863
4.010000 	 -nan 	 -nan	80.565467
4.020000 	 -nan 	 -nan	80.022842
4.030000 	 -nan 	 -nan	79.484938
4.040000 	 -nan 	 -nan	78.951704
4.050000 	 -nan 	 -nan	78.423093
4.060000 	 -nan 	 -nan	77.899055
4.070000 	 -nan 	 -nan	77.379543
4.080000 	 -nan 	 -nan	76.864510
4.090000 	 -nan 	 -nan	76.353909
4.100000 	 -nan 	 -nan	75.847695
4.110000 	 -nan 	 -nan	75.345820
4.120000 	 -nan 	 -nan	74.848242
4.130000 	 -nan 	 -nan	74.354914
4.140000 	 -nan 	 -nan	73.865794
4.150000 	 -nan 	 -nan	73.380838
4.160000 	 -nan 	 -nan	72.900003
4.170000 	 -nan 	 -nan	72.423247
4.180000 	 -nan 	 -nan	71.950528
4.190000 	 -nan 	 -nan	71.481804
4.200000 	 -nan 	 -nan	71.017035
4.210000 	 -nan 	 -nan	70.556180
4.220000 	 -nan 	 -nan	70.099200
4.230000 	 -nan 	 -nan	69.646055
4.240000 	 -nan 	 -nan	69.196706
4.250000 	 -nan 	 -nan	68.751114
4.260000 	 -nan 	 -nan	68.309242
4.270000 	 -nan 	 -nan	67.871052
4.280000 	 -nan 	 -nan	67.436507
4.290000 	 -nan 	 -nan	67.005570
4.300000 	 -nan 	 -nan	66.578204
4.310000 	 -nan 	 -nan	66.154374
4.320000 	 -nan 	 -nan	65.734044
4.330000 	 -nan 	 -nan	65.317180
4.340000 	 -nan 	 -nan	64.903746
4.350000 	 -nan 	 -nan	64.493709
4.360000 	 -nan 	 -nan	64.087034
4.370000 	 -nan 	 -nan	63.683689
4.380000 	 -nan 	 -nan	63.283639
4.390000 	 -nan 	 -nan	62.886853
4.400000 	 -nan 	 -nan	62.493298
4.410000 	 -nan 	 -nan	62.102941
4.420000 	 -nan 	 -nan	61.715752
4.430000 	 -nan 	 -nan	61.331700
4.440000 	 -nan 	 -nan	60.950753
4.450000 	 -nan 	 -nan	60.572881
4.460000 	 -nan 	 -nan	60.198053
4.470000 	 -nan 	 -nan	59.826241
4.480000 	 -nan 	 -nan	59.457413
4.490000 	 -nan 	 -nan	59.091543
4.500000 	 -nan 	 -nan	58.728599
4.510000 	 -nan 	 -nan	58.368555
4.520000 	 -nan 	 -nan	58.011382
4.530000 	 -nan 	 -nan	57.657051
4.540000 	 -nan 	 -nan	57.305536
4.550000 	 -nan 	 -nan	56.956810
4.560000 	 -nan 	 -nan	56.610844
4.570000 	 -nan 	 -nan	56.267614
4.580000 	 -nan 	 -nan	55.927091
4.590000 	 -nan 	 -nan	55.589252
4.600000 	 -nan 	 -nan	55.254069
4.610000 	 -nan 	 -nan	54.921517
4.620000 	 -nan 	 -nan	54.591571
4.630000 	 -nan 	 -nan	54.264207
4.640000 	 -nan 	 -nan	53.939399
4.650000 	 -nan 	 -nan	53.617123
4.660000 	 -nan 	 -nan	53.297356
4.670000 	 -nan 	 -nan	52.980073
4.680000 	 -nan 	 -nan	52.665251
4.690000 	 -nan 	 -nan	52.352867
4.700000 	 -nan 	 -nan	52.042897
4.710000 	 -nan 	 -nan	51.735319
4.720000 	 -nan 	 -nan	51.430111
4.730000 	 -nan 	 -nan	51.127250
4.740000 	 -nan 	 -nan	50.826714
4.750000 	 -nan 	 -nan	50.528481
4.760000 	 -nan 	 -nan	50.232530
4.770000 	 -nan 	 -nan	49.938839
4.780000 	 -nan 	 -nan	49.647388
4.790000 	 -nan 	 -nan	49.358156
4.800000 	 -nan 	 -nan	49.071121
4.810000 	 -nan 	 -nan	48.786265
4.820000 	 -nan 	 -nan	48.503565
4.830000 	 -nan 	 -nan	48.223003
4.840000 	 -nan 	 -nan	47.944559
4.850000 	 -nan 	 -nan	47.668213
4.860000 	 -nan 	 -nan	47.393946
