-3.470000 	 -nan 	 -nan	318.309886
-3.460000 	 -nan 	 -nan	318.309886
-3.450000 	 -nan 	 -nan	318.309886
-3.440000 	 -nan 	 -nan	318.309886
-3.430000 	 -nan 	 -nan	318.309886
-3.420000 	 -nan 	 -nan	318.309886
-3.410000 	 -nan 	 -nan	318.309886
-3.400000 	 -nan 	 -nan	318.309886
-3.390000 	 -nan 	 -nan	318.309886
-3.380000 	 -nan 	 -nan	318.309886
-3.370000 	 -nan 	 -nan	318.309886
-3.360000 	 -nan 	 -nan	318.309886
-3.350000 	 -nan 	 -nan	318.309886
-3.340000 	 -nan 	 -nan	318.309886
-3.330000 	 -nan 	 -nan	318.309886
-3.320000 	 -nan 	 -nan	318.309886
-3.310000 	 -nan 	 -nan	318.309886
-3.300000 	 -nan 	 -nan	318.309886
-3.290000 	 -nan 	 -nan	318.309886
-3.280000 	 -nan 	 -nan	318.309886
-3.270000 	 -nan 	 -nan	318.309886
-3.260000 	 -nan 	 -nan	318.309886
-3.250000 	 -nan 	 -nan	318.309886
-3.240000 	 -nan 	 -nan	318.309886
-3.230000 	 -nan 	 -nan	318.309886
-3.220000 	 -nan 	 -nan	318.309886
-3.210000 	 -nan 	 -nan	318.309886
-3.200000 	 -nan 	 -nan	318.309886
-3.190000 	 -nan 	 -nan	318.309886
-3.180000 	 -nan 	 -nan	318.309886
-3.170000 	 -nan 	 -nan	318.309886
-3.160000 	 -nan 	 -nan	318.309886
-3.150000 	 -nan 	 -nan	318.309886
-3.140000 	 -nan 	 -nan	318.309886
-3.130000 	 -nan 	 -nan	318.309886
-3.120000 	 -nan 	 -nan	318.309886
-3.110000 	 -nan 	 -nan	318.309886
-3.100000 	 -nan 	 -nan	318.309886
-3.090000 	 -nan 	 -nan	318.309886
-3.080000 	 -nan 	 -nan	318.309886
-3.070000 	 -nan 	 -nan	318.309886
-3.060000 	 -nan 	 -nan	318.309886
-3.050000 	 -nan 	 -nan	318.309886
-3.040000 	 -nan 	 -nan	318.309886
-3.030000 	 -nan 	 -nan	318.309886
-3.020000 	 -nan 	 -nan	318.309886
-3.010000 	 -nan 	 -nan	318.309886
-3.000000 	 -nan 	 -nan	318.309886
-2.990000 	 -nan 	 -nan	318.309886
-2.980000 	 -nan 	 -nan	318.309886
-2.970000 	 -nan 	 -nan	318.309886
-2.960000 	 -nan 	 -nan	318.309886
-2.950000 	 -nan 	 -nan	318.309886
-2.940000 	 -nan 	 -nan	318.309886
-2.930000 	 -nan 	 -nan	318.309886
-2.920000 	 -nan 	 -nan	318.309886
-2.910000 	 -nan 	 -nan	318.309886
-2.900000 	 -nan 	 -nan	318.309886
-2.890000 	 -nan 	 -nan	318.309886
-2.880000 	 -nan 	 -nan	318.309886
-2.870000 	 -nan 	 -nan	318.309886
-2.860000 	 -nan 	 -nan	318.309886
-2.850000 	 -nan 	 -nan	318.309886
-2.840000 	 -nan 	 -nan	318.309886
-2.830000 	 -nan 	 -nan	318.309886
-2.820000 	 -nan 	 -nan	318.309886
-2.810000 	 -nan 	 -nan	318.309886
-2.800000 	 -nan 	 -nan	318.309886
-2.790000 	 -nan 	 -nan	318.309886
-2.780000 	 -nan 	 -nan	318.309886
-2.770000 	 -nan 	 -nan	318.309886
-2.760000 	 -nan 	 -nan	318.309886
-2.750000 	 -nan 	 -nan	318.309886
-2.740000 	 -nan 	 -nan	318.309886
-2.730000 	 -nan 	 -nan	318.309886
-2.720000 	 -nan 	 -nan	318.309886
-2.710000 	 -nan 	 -nan	318.309886
-2.700000 	 -nan 	 -nan	318.309886
-2.690000 	 -nan 	 -nan	318.309886
-2.680000 	 -nan 	 -nan	318.309886
-2.670000 	 -nan 	 -nan	318.309886
-2.660000 	 -nan 	 -nan	318.309886
-2.650000 	 -nan 	 -nan	318.309886
-2.640000 	 -nan 	 -nan	318.309886
-2.630000 	 -nan 	 -nan	318.309886
-2.620000 	 -nan 	 -nan	318.309886
-2.610000 	 -nan 	 -nan	318.309886
-2.600000 	 -nan 	 -nan	318.309886
-2.590000 	 -nan 	 -nan	318.309886
-2.580000 	 -nan 	 -nan	318.309886
-2.570000 	 -nan 	 -nan	318.309886
-2.560000 	 -nan 	 -nan	318.309886
-2.550000 	 -nan 	 -nan	318.309886
-2.540000 	 -nan 	 -nan	318.309886
-2.530000 	 -nan 	 -nan	318.309886
-2.520000 	 -nan 	 -nan	318.309886
-2.510000 	 -nan 	 -nan	318.309886
-2.500000 	 -nan 	 -nan	318.309886
-2.490000 	 -nan 	 -nan	318.309886
-2.480000 	 -nan 	 -nan	318.309886
-2.470000 	 -nan 	 -nan	318.309886
-2.460000 	 -nan 	 -nan	318.309886
-2.450000 	 -nan 	 -nan	318.309886
-2.440000 	 -nan 	 -nan	318.309886
-2.430000 	 -nan 	 -nan	318.309886
-2.420000 	 -nan 	 -nan	318.309886
-2.410000 	 -nan 	 -nan	318.309886
-2.400000 	 -nan 	 -nan	318.309886
-2.390000 	 -nan 	 -nan	318.309886
-2.380000 	 -nan 	 -nan	318.309886
-2.370000 	 -nan 	 -nan	318.309886
-2.360000 	 -nan 	 -nan	318.309886
-2.350000 	 -nan 	 -nan	318.309886
-2.340000 	 -nan 	 -nan	318.309886
-2.330000 	 -nan 	 -nan	318.309886
-2.320000 	 -nan 	 -nan	318.309886
-2.310000 	 -nan 	 -nan	318.309886
-2.300000 	 -nan 	 -nan	318.309886
-2.290000 	 -nan 	 -nan	318.309886
-2.280000 	 -nan 	 -nan	318.309886
-2.270000 	 -nan 	 -nan	318.309886
-2.260000 	 -nan 	 -nan	318.309886
-2.250000 	 -nan 	 -nan	318.309886
-2.240000 	 -nan 	 -nan	318.309886
-2.230000 	 -nan 	 -nan	318.309886
-2.220000 	 -nan 	 -nan	318.309886
-2.210000 	 -nan 	 -nan	318.309886
-2.200000 	 -nan 	 -nan	318.309886
-2.190000 	 -nan 	 -nan	318.309886
-2.180000 	 -nan 	 -nan	318.309886
-2.170000 	 -nan 	 -nan	318.309886
-2.160000 	 -nan 	 -nan	318.309886
-2.150000 	 -nan 	 -nan	318.309886
-2.140000 	 -nan 	 -nan	318.309886
-2.130000 	 -nan 	 -nan	318.309886
-2.120000 	 -nan 	 -nan	318.309886
-2.110000 	 -nan 	 -nan	318.309886
-2.100000 	 -nan 	 -nan	318.309886
-2.090000 	 -nan 	 -nan	318.309886
-2.080000 	 -nan 	 -nan	318.309886
-2.070000 	 -nan 	 -nan	318.309886
-2.060000 	 -nan 	 -nan	318.309886
-2.050000 	 -nan 	 -nan	318.309886
-2.040000 	 -nan 	 -nan	318.309886
-2.030000 	 -nan 	 -nan	318.309886
-2.020000 	 -nan 	 -nan	318.309886
-2.010000 	 -nan 	 -nan	318.309886
-2.000000 	 -nan 	 -nan	318.309886
-1.990000 	 -nan 	 -nan	318.309886
-1.980000 	 -nan 	 -nan	318.309886
-1.970000 	 -nan 	 -nan	318.309886
-1.960000 	 -nan 	 -nan	318.309886
-1.950000 	 -nan 	 -nan	318.309886
-1.940000 	 -nan 	 -nan	318.309886
-1.930000 	 -nan 	 -nan	318.309886
-1.920000 	 -nan 	 -nan	318.309886
-1.910000 	 -nan 	 -nan	318.309886
