2.670000 	 -nan 	 -nan	409.333802
2.680000 	 -nan 	 -nan	408.321992
2.690000 	 -nan 	 -nan	407.302256
2.700000 	 -nan 	 -nan	406.274803
2.710000 	 -nan 	 -nan	405.239840
2.720000 	 -nan 	 -nan	404.197570
2.730000 	 -nan 	 -nan	403.148196
2.740000 	 -nan 	 -nan	402.091915
2.750000 	 -nan 	 -nan	401.028925
2.760000 	 -nan 	 -nan	399.959418
2.770000 	 -nan 	 -nan	398.883587
2.780000 	 -nan 	 -nan	397.801619
2.790000 	 -nan 	 -nan	396.713701
2.800000 	 -nan 	 -nan	395.620017
2.810000 	 -nan 	 -nan	394.520748
2.820000 	 -nan 	 -nan	393.416072
2.830000 	 -nan 	 -nan	392.306166
2.840000 	 -nan 	 -nan	391.191204
2.850000 	 -nan 	 -nan	390.071356
2.860000 	 -nan 	 -nan	388.946793
2.870000 	 -nan 	 -nan	387.817679
2.880000 	 -nan 	 -nan	386.684181
2.890000 	 -nan 	 -nan	385.546459
2.900000 	 -nan 	 -nan	384.404672
2.910000 	 -nan 	 -nan	383.258979
2.920000 	 -nan 	 -nan	382.109533
2.930000 	 -nan 	 -nan	380.956487
2.940000 	 -nan 	 -nan	379.799991
2.950000 	 -nan 	 -nan	378.640194
2.960000 	 -nan 	 -nan	377.477241
2.970000 	 -nan 	 -nan	376.311275
2.980000 	 -nan 	 -nan	375.142438
2.990000 	 -nan 	 -nan	373.970868
3.000000 	 -nan 	 -nan	372.796702
3.010000 	 -nan 	 -nan	371.620076
3.020000 	 -nan 	 -nan	370.441122
3.030000 	 -nan 	 -nan	369.259969
3.040000 	 -nan 	 -nan	368.076748
3.050000 	 -nan 	 -nan	366.891583
3.060000 	 -nan 	 -nan	365.704599
3.070000 	 -nan 	 -nan	364.515918
3.080000 	 -nan 	 -nan	363.325660
3.090000 	 -nan 	 -nan	362.133944
3.100000 	 -nan 	 -nan	360.940886
3.110000 	 -nan 	 -nan	359.746600
3.120000 	 -nan 	 -nan	358.551198
3.130000 	 -nan 	 -nan	357.354790
3.140000 	 -nan 	 -nan	356.157486
3.150000 	 -nan 	 -nan	354.959392
3.160000 	 -nan 	 -nan	353.760611
3.170000 	 -nan 	 -nan	352.561249
3.180000 	 -nan 	 -nan	351.361404
3.190000 	 -nan 	 -nan	350.161178
3.200000 	 -nan 	 -nan	348.960667
3.210000 	 -nan 	 -nan	347.759966
3.220000 	 -nan 	 -nan	346.559171
3.230000 	 -nan 	 -nan	345.358374
3.240000 	 -nan 	 -nan	344.157665
3.250000 	 -nan 	 -nan	342.957132
3.260000 	 -nan 	 -nan	341.756864
3.270000 	 -nan 	 -nan	340.556946
3.280000 	 -nan 	 -nan	339.357463
3.290000 	 -nan 	 -nan	338.158496
3.300000 	 -nan 	 -nan	336.960126
3.310000 	 -nan 	 -nan	335.762433
3.320000 	 -nan 	 -nan	334.565495
3.330000 	 -nan 	 -nan	333.369388
3.340000 	 -nan 	 -nan	332.174186
3.350000 	 -nan 	 -nan	330.979964
3.360000 	 -nan 	 -nan	329.786793
3.370000 	 -nan 	 -nan	328.594742
3.380000 	 -nan 	 -nan	327.403883
3.390000 	 -nan 	 -nan	326.214281
3.400000 	 -nan 	 -nan	325.026003
3.410000 	 -nan 	 -nan	323.839114
3.420000 	 -nan 	 -nan	322.653678
3.430000 	 -nan 	 -nan	321.469757
3.440000 	 -nan 	 -nan	320.287411
3.450000 	 -nan 	 -nan	319.106700
3.460000 	 -nan 	 -nan	317.927682
3.470000 	 -nan 	 -nan	316.750416
3.480000 	 -nan 	 -nan	315.574955
3.490000 	 -nan 	 -nan	314.401355
3.500000 	 -nan 	 -nan	313.229670
3.510000 	 -nan 	 -nan	312.059951
3.520000 	 -nan 	 -nan	310.892249
3.530000 	 -nan 	 -nan	309.726615
3.540000 	 -nan 	 -nan	308.563097
3.550000 	 -nan 	 -nan	307.401742
3.560000 	 -nan 	 -nan	306.242598
3.570000 	 -nan 	 -nan	305.085709
3.580000 	 -nan 	 -nan	303.931120
3.590000 	 -nan 	 -nan	302.778875
3.600000 	 -nan 	 -nan	301.629015
3.610000 	 -nan 	 -nan	300.481582
3.620000 	 -nan 	 -nan	299.336616
3.630000 	 -nan 	 -nan	298.194156
3.640000 	 -nan 	 -nan	297.054240
3.650000 	 -nan 	 -nan	295.916907
3.660000 	 -nan 	 -nan	294.782191
3.670000 	 -nan 	 -nan	293.650129
3.680000 	 -nan 	 -nan	292.520754
3.690000 	 -nan 	 -nan	291.394102
3.700000 	 -nan 	 -nan	290.270203
3.710000 	 -nan 	 -nan	289.149091
3.720000 	 -nan 	 -nan	288.030795
3.730000 	 -nan 	 -nan	286.915347
3.740000 	 -nan 	 -nan	285.802775
3.750000 	 -nan 	 -nan	284.693107
3.760000 	 -nan 	 -nan	283.586373
3.770000 	 -nan 	 -nan	282.482597
3.780000 	 -nan 	 -nan	281.381806
3.790000 	 -nan 	 -nan	280.284027
3.800000 	 -nan 	 -nan	279.189282
3.810000 	 -nan 	 -nan	278.097596
3.820000 	 -nan 	 -nan	277.008992
3.830000 	 -nan 	 -nan	275.923492
3.840000 	 -nan 	 -nan	274.841118
3.850000 	 -nan 	 -nan	273.761890
3.860000 	 -nan 	 -nan	272.685830
3.870000 	 -nan 	 -nan	271.612956
3.880000 	 -nan 	 -nan	270.543287
3.890000 	 -nan 	 -nan	269.476842
3.900000 	 -nan 	 -nan	268.413639
3.910000 	 -nan 	 -nan	267.353693
3.920000 	 -nan 	 -nan	266.297022
3.930000 	 -nan 	 -nan	265.243641
3.940000 	 -nan 	 -nan	264.193566
3.950000 	 -nan 	 -nan	263.146811
3.960000 	 -nan 	 -nan	262.103389
3.970000 	 -nan 	 -nan	261.063315
3.980000 	 -nan 	 -nan	260.026601
3.990000 	 -nan 	 -nan	258.993260
4.000000 	 -nan 	 -nan	257.963303
4.010000 	 -nan 	 -nan	256.936742
4.020000 	 -nan 	 -nan	255.913586
4.030000 	 -nan 	 -nan	254.893848
4.040000 	 -nan 	 -nan	253.877535
4.050000 	 -nan 	 -nan	252.864658
4.060000 	 -nan 	 -nan	251.855226
4.070000 	 -nan 	 -nan	250.849246
4.080000 	 -nan 	 -nan	249.846726
4.090000 	 -nan 	 -nan	248.847674
4.100000 	 -nan 	 -nan	247.852096
4.110000 	 -nan 	 -nan	246.859999
4.120000 	 -nan 	 -nan	245.871390
4.130000 	 -nan 	 -nan	244.886274
4.140000 	 -nan 	 -nan	243.904655
4.150000 	 -nan 	 -nan	242.926539
4.160000 	 -nan 	 -nan	241.951931
4.170000 	 -nan 	 -nan	240.980833
4.180000 	 -nan 	 -nan	240.013251
4.190000 	 -nan 	 -nan	239.049186
4.200000 	 -nan 	 -nan	238.088643
4.210000 	 -nan 	 -nan	237.131623
4.220000 	 -nan 	 -nan	236.178129
4.230000 	 -nan 	 -nan	235.228163
4.240000 	 -nan 	 -nan	234.281725
4.250000 	 -nan 	 -nan	233.338818
4.260000 	 -nan 	 -nan	232.399442
4.270000 	 -nan 	 -nan	231.463598
4.280000 	 -nan 	 -nan	230.531285
4.290000 	 -nan 	 -nan	229.602504
4.300000 	 -nan 	 -nan	228.677254
4.310000 	 -nan 	 -nan	227.755535
4.320000 	 -nan 	 -nan	226.837346
4.330000 	 -nan 	 -nan	225.922685
4.340000 	 -nan 	 -nan	225.011550
4.350000 	 -nan 	 -nan	224.103941
4.360000 	 -nan 	 -nan	223.199855
4.370000 	 -nan 	 -nan	222.299289
4.380000 	 -nan 	 -nan	221.402241
4.390000 	 -nan 	 -nan	220.508709
4.400000 	 -nan 	 -nan	219.618688
4.410000 	 -nan 	 -nan	218.732177
4.420000 	 -nan 	 -nan	217.849170
4.430000 	 -nan 	 -nan	216.969665
4.440000 	 -nan 	 -nan	216.093657
4.450000 	 -nan 	 -nan	215.221143
4.460000 	 -nan 	 -nan	214.352118
4.470000 	 -nan 	 -nan	213.486576
4.480000 	 -nan 	 -nan	212.624514
4.490000 	 -nan 	 -nan	211.765927
4.500000 	 -nan 	 -nan	210.910808
4.510000 	 -nan 	 -nan	210.059153
4.520000 	 -nan 	 -nan	209.210956
4.530000 	 -nan 	 -nan	208.366212
4.540000 	 -nan 	 -nan	207.524914
4.550000 	 -nan 	 -nan	206.687056
4.560000 	 -nan 	 -nan	205.852632
4.570000 	 -nan 	 -nan	205.021636
4.580000 	 -nan 	 -nan	204.194060
4.590000 	 -nan 	 -nan	203.369899
4.600000 	 -nan 	 -nan	202.549144
4.610000 	 -nan 	 -nan	201.731790
4.620000 	 -nan 	 -nan	200.917829
4.630000 	 -nan 	 -nan	200.107253
4.640000 	 -nan 	 -nan	199.300055
4.650000 	 -nan 	 -nan	198.496228
4.660000 	 -nan 	 -nan	197.695764
4.670000 	 -nan 	 -nan	196.898654
4.680000 	 -nan 	 -nan	196.104891
4.690000 	 -nan 	 -nan	195.314467
4.700000 	 -nan 	 -nan	194.527373
4.710000 	 -nan 	 -nan	193.743602
4.720000 	 -nan 	 -nan	192.963144
4.730000 	 -nan 	 -nan	192.185991
4.740000 	 -nan 	 -nan	191.412134
4.750000 	 -nan 	 -nan	190.641566
4.760000 	 -nan 	 -nan	189.874276
4.770000 	 -nan 	 -nan	189.110256
4.780000 	 -nan 	 -nan	188.349496
4.790000 	 -nan 	 -nan	187.591988
4.800000 	 -nan 	 -nan	186.837723
4.810000 	 -nan 	 -nan	186.086691
4.820000 	 -nan 	 -nan	185.338882
4.830000 	 -nan 	 -nan	184.594288
4.840000 	 -nan 	 -nan	183.852899
4.850000 	 -nan 	 -nan	183.114704
4.860000 	 -nan 	 -nan	182.379695
4.870000 	 -nan 	 -nan	181.647861
4.880000 	 -nan 	 -nan	180.919194
4.890000 	 -nan 	 -nan	180.193682
4.900000 	 -nan 	 -nan	179.471316
4.910000 	 -nan 	 -nan	178.752086
4.920000 	 -nan 	 -nan	178.035982
4.930000 	 -nan 	 -nan	177.322993
4.940000 	 -nan 	 -nan	176.613111
4.950000 	 -nan 	 -nan	175.906323
4.960000 	 -nan 	 -nan	175.202621
4.970000 	 -nan 	 -nan	174.501993
4.980000 	 -nan 	 -nan	173.804429
4.990000 	 -nan 	 -nan	173.109920
5.000000 	 -nan 	 -nan	172.418454
5.010000 	 -nan 	 -nan	171.730021
5.020000 	 -nan 	 -nan	171.044610
5.030000 	 -nan 	 -nan	170.362211
5.040000 	 -nan 	 -nan	169.682814
5.050000 	 -nan 	 -nan	169.006407
5.060000 	 -nan 	 -nan	168.332980
5.070000 	 -nan 	 -nan	167.662523
5.080000 	 -nan 	 -nan	166.995024
5.090000 	 -nan 	 -nan	166.330472
5.100000 	 -nan 	 -nan	165.668858
5.110000 	 -nan 	 -nan	165.010170
5.120000 	 -nan 	 -nan	164.354398
5.130000 	 -nan 	 -nan	163.701530
5.140000 	 -nan 	 -nan	163.051556
5.150000 	 -nan 	 -nan	162.404464
5.160000 	 -nan 	 -nan	161.760245
5.170000 	 -nan 	 -nan	161.118886
5.180000 	 -nan 	 -nan	160.480378
5.190000 	 -nan 	 -nan	159.844709
5.200000 	 -nan 	 -nan	159.211869
5.210000 	 -nan 	 -nan	158.581845
5.220000 	 -nan 	 -nan	157.954628
5.230000 	 -nan 	 -nan	157.330207
5.240000 	 -nan 	 -nan	156.708570
5.250000 	 -nan 	 -nan	156.089706
5.260000 	 -nan 	 -nan	155.473605
5.270000 	 -nan 	 -nan	154.860255
5.280000 	 -nan 	 -nan	154.249646
5.290000 	 -nan 	 -nan	153.641767
5.300000 	 -nan 	 -nan	153.036606
5.310000 	 -nan 	 -nan	152.434152
5.320000 	 -nan 	 -nan	151.834396
5.330000 	 -nan 	 -nan	151.237324
5.340000 	 -nan 	 -nan	150.642928
5.350000 	 -nan 	 -nan	150.051195
5.360000 	 -nan 	 -nan	149.462115
5.370000 	 -nan 	 -nan	148.875677
5.380000 	 -nan 	 -nan	148.291870
5.390000 	 -nan 	 -nan	147.710683
5.400000 	 -nan 	 -nan	147.132104
5.410000 	 -nan 	 -nan	146.556124
5.420000 	 -nan 	 -nan	145.982731
5.430000 	 -nan 	 -nan	145.411914
5.440000 	 -nan 	 -nan	144.843663
5.450000 	 -nan 	 -nan	144.277966
5.460000 	 -nan 	 -nan	143.714813
5.470000 	 -nan 	 -nan	143.154193
5.480000 	 -nan 	 -nan	142.596095
5.490000 	 -nan 	 -nan	142.040508
5.500000 	 -nan 	 -nan	141.487422
5.510000 	 -nan 	 -nan	140.936826
5.520000 	 -nan 	 -nan	140.388708
5.530000 	 -nan 	 -nan	139.843059
5.540000 	 -nan 	 -nan	139.299867
5.550000 	 -nan 	 -nan	138.759122
5.560000 	 -nan 	 -nan	138.220813
5.570000 	 -nan 	 -nan	137.684930
5.580000 	 -nan 	 -nan	137.151462
5.590000 	 -nan 	 -nan	136.620398
5.600000 	 -nan 	 -nan	136.091727
5.610000 	 -nan 	 -nan	135.565440
5.620000 	 -nan 	 -nan	135.041525
5.630000 	 -nan 	 -nan	134.519973
5.640000 	 -nan 	 -nan	134.000772
5.650000 	 -nan 	 -nan	133.483912
5.660000 	 -nan 	 -nan	132.969383
5.670000 	 -nan 	 -nan	132.457174
5.680000 	 -nan 	 -nan	131.947275
5.690000 	 -nan 	 -nan	131.439676
5.700000 	 -nan 	 -nan	130.934366
5.710000 	 -nan 	 -nan	130.431335
5.720000 	 -nan 	 -nan	129.930572
5.730000 	 -nan 	 -nan	129.432068
5.740000 	 -nan 	 -nan	128.935812
5.750000 	 -nan 	 -nan	128.441793
5.760000 	 -nan 	 -nan	127.950003
5.770000 	 -nan 	 -nan	127.460430
5.780000 	 -nan 	 -nan	126.973065
5.790000 	 -nan 	 -nan	126.487897
5.800000 	 -nan 	 -nan	126.004917
5.810000 	 -nan 	 -nan	125.524114
5.820000 	 -nan 	 -nan	125.045478
5.830000 	 -nan 	 -nan	124.569000
5.840000 	 -nan 	 -nan	124.094670
5.850000 	 -nan 	 -nan	123.622477
5.860000 	 -nan 	 -nan	123.152412
5.870000 	 -nan 	 -nan	122.684464
5.880000 	 -nan 	 -nan	122.218625
5.890000 	 -nan 	 -nan	121.754885
5.900000 	 -nan 	 -nan	121.293233
5.910000 	 -nan 	 -nan	120.833659
5.920000 	 -nan 	 -nan	120.376156
5.930000 	 -nan 	 -nan	119.920712
5.940000 	 -nan 	 -nan	119.467317
5.950000 	 -nan 	 -nan	119.015964
5.960000 	 -nan 	 -nan	118.566641
5.970000 	 -nan 	 -nan	118.119340
5.980000 	 -nan 	 -nan	117.674050
5.990000 	 -nan 	 -nan	117.230764
6.000000 	 -nan 	 -nan	116.789470
6.010000 	 -nan 	 -nan	116.350160
6.020000 	 -nan 	 -nan	115.912825
6.030000 	 -nan 	 -nan	115.477454
6.040000 	 -nan 	 -nan	115.044040
6.050000 	 -nan 	 -nan	114.612572
6.060000 	 -nan 	 -nan	114.183042
6.070000 	 -nan 	 -nan	113.755440
6.080000 	 -nan 	 -nan	113.329757
6.090000 	 -nan 	 -nan	112.905984
6.100000 	 -nan 	 -nan	112.484112
