0.010000 	 -nan 	 -nan	-nan
4.070000 	 1.910427 	 1.202014	2.257116
4.080000 	 1.910012 	 1.200603	2.256013
4.090000 	 1.909591 	 1.199196	2.254908
4.100000 	 1.909164 	 1.197794	2.253801
4.110000 	 1.908732 	 1.196397	2.252693
4.120000 	 1.908294 	 1.195004	2.251582
4.130000 	 1.907851 	 1.193616	2.250470
4.140000 	 1.907402 	 1.192233	2.249356
4.150000 	 1.906948 	 1.190855	2.248241
4.160000 	 1.906489 	 1.189481	2.247123
4.170000 	 1.906024 	 1.188111	2.246004
4.180000 	 1.905554 	 1.186747	2.244884
4.190000 	 1.905079 	 1.185387	2.243762
4.200000 	 1.904599 	 1.184031	2.242638
4.210000 	 1.904113 	 1.182680	2.241513
4.220000 	 1.903623 	 1.181333	2.240386
4.230000 	 1.903128 	 1.179991	2.239258
4.240000 	 1.902628 	 1.178653	2.238128
4.250000 	 1.902123 	 1.177320	2.236997
4.260000 	 1.901614 	 1.175991	2.235864
4.270000 	 1.901100 	 1.174666	2.234730
4.280000 	 1.900581 	 1.173346	2.233595
4.290000 	 1.900057 	 1.172029	2.232459
4.300000 	 1.899530 	 1.170718	2.231321
4.310000 	 1.898997 	 1.169410	2.230182
4.320000 	 1.898460 	 1.168107	2.229041
4.330000 	 1.897919 	 1.166808	2.227900
4.340000 	 1.897374 	 1.165513	2.226757
4.350000 	 1.896824 	 1.164223	2.225613
4.360000 	 1.896270 	 1.162936	2.224468
4.370000 	 1.895712 	 1.161654	2.223322
4.380000 	 1.895149 	 1.160375	2.222175
4.390000 	 1.894583 	 1.159101	2.221027
4.400000 	 1.894012 	 1.157831	2.219878
4.410000 	 1.893438 	 1.156565	2.218727
4.420000 	 1.892860 	 1.155303	2.217576
4.430000 	 1.892278 	 1.154045	2.216424
4.440000 	 1.891692 	 1.152791	2.215271
4.450000 	 1.891102 	 1.151541	2.214117
4.460000 	 1.890508 	 1.150295	2.212962
4.470000 	 1.889911 	 1.149053	2.211806
4.480000 	 1.889310 	 1.147815	2.210649
